iban,balance
YPUXISOBI7TTHPK2BR3HAIXL,23854.96
83IDT77FWYLCJVR8ISDACFH0,41091.08
90XYKT83LMM7AARZ8JN958JC,37667.85
7N7ZH1PJ8Q4WU1K965HQQR27,33492.23
TAVHURD845KVBTB8W81AQXRY,13078.67
V6H0O5OE3Q4JVKWDTYWZABMD,3547.81
49V4GVDVMP0MHIDD4VXMQ3A2,7297.70
TS66YQ8R16OX7IJKLUONDQHP,50074.42
CW5U5KS23U7JYD22TVQL7SIH,5420.15
GBZRGDMKUOTO34HBCI7A986J,7977.49
O8ENPRB9UVBL2EFZ7601KC09,2286.61
EBMD95RLK8B82ZAZNXBJ09V5,3160.37
G4UIZKIQVPJM9D31XQVR1E9Z,71173.41
FKK6U634LGI3E7N517DLVVTL,10374.48
AR01SNDMKGECX0EYH7UCW61W,2721.86
28JYZAY4KYT48YI8QW40PWXR,10445.86
KN8XAPR2J5UB8AKDI1EVJ56R,76025.71
HZM7V9PYHPZBN72IDFPXGN8Q,5341.63
O02LHDNNFCVSM6D4H81DIQHE,71540.59
TX26FO9B7YR2VHYDSJBE32AX,12434.23
Y0WSN5IED255808SIYBUOMWO,54989.43
E1XUHCC1N39WGU6XESSK1CAO,1933.34
P7YLGOOBWBD1SRWDWSFO3PZ0,1745860.80
WEBE9SBX588VFUCVCA6KFHWB,114611.70
DJI19LCUNUHP6YSGPY52D5VG,1866274.49
X4UPULQG61VIGA97USY7AAEB,556147.93
A8DBPECO4X6D09WYOVT8UZK8,10291.37
BKX6ZWB8UJZD09RFOWFPPD3C,1218420.04
7N3JP8KN9AUNXOWRQGAU2JX6,122895.23
OOPQTNZ74OLPKVT7TGB89UQL,1374989.57
8CWPTN20RQPDSYBIFFBKST0Y,8411.41
OWB91F2VZ2E9CLXNOL6UWHHG,188102.15
WAY3DD43Q6Q80C91JL6QMMPG,15632.29
UADPJBZ9RKH43HTQTVH3XJVU,495907.26
M6XUGZUMRVYFPA749TW11FOQ,4312643.39
CVZUYWP0DE2FJV35UBX139M6,341312.86
AJCKYA81F772Y6I2JEQLMAZC,26159.84
7I9GEGMXL9VGE6G8R8LIU56R,121150.25
P9XHDUDOI7KBTD5L2G3SC6QX,123217.53
JPNKGL9N1J930H744PR6F13F,44838.55
GLVVKMVFJUI5UD6AT6MOFH56,11048.11
PMD8YU00ONQZ6N15NUIUA664,7303.26
HBOFBLQ4I6NC3SD4UA8N2SMB,272764.35
GE69DH4DIW8TTIT7JE64SAT0,113971.87
ZS6B89ES5M9TCN41GZGOWCJT,477865.10
U5ETD8TPJGZXIHUBTF7XB6BI,108704.78
H5QRESBL5GN954V0X557JYX8,5502.67
7I5K7G5VXEDAKWG1D52TD5QA,41880.93
EIQKTWLBDUEJKOYYOEFNTT4Y,13892.25
SH1UHKUCEMW3OCALA3C9SBR5,1086893.78
59YJ2N9PUQHJMAG3DFP5QVF3,3119.45
WZYR306SNAZABOWG3S0P0ZO2,106681.48
9ZI0N9P40P5UV8IUNC6I1JMR,9614.26
MAJR8E5TRHGU1G6BTOB7VC0M,15378.17
SEN3ZRXYGQMIN836PVHIMVE4,54940.47
O4SRDQSMXQ306AYNEQ1X204O,74731.32
J1P3UW9MP6CGJ5KLYWMFNY0R,10582.55
RD1LSDS2ZKLY47IBHWNHXWF1,1387483.93
0DIIQ3XV0C7N79DDVXSRTR51,60215.22
B5ZX7R6J7L1L5YQUP39FJEBV,14546.32
NG062DTJJ4N1YX614AX4QHKQ,4650.66
0D62WKMSBB0L6B1OROJ4XJJS,4995.27
SHA3A8F9N11Y5EUG9W0UWO0R,12367.43
JS01WS6YLX4ICV2UIPESHOWE,11481.90
JKYA9837MM8IIIJMLEVDM1H8,97924.47
20BFMAMR1QLK8086JZ2WYRJ1,98032.44
AORWY243KHD5PPL64NA5B1NG,75467.70
Y1HXRF21OPB26M1ARCACE32I,8962.68
KIU8CNJHJYP64TJZISGJEY1P,55821.10
ODURQ335WV53JX2M3U0PSANS,21940.89
YO03JW6TN7ZLWGL7DL0YZS7D,9024.52
EJ3CFAIVYHVMLXYOQDGLGFUE,6878.10
855LFLMPYWBLJTDROCRTJM04,13498.19
GDFJ97OX486QKAHP1RY8J38L,6298.89
U2N85V6YUKWTZWYIFUHPULYV,453780.36
TWH8V22K6WOB3NJ183RG1KDJ,222275.19
5Z9CCPIZ2V57XWHVAOE2N56M,9105.04
SUWTU7G890VVO0B6MFV5O14O,1121651.83
W5Y8JX50CVKV1GYJX5F49ASW,10354.86
24RO2TMJWQRNS73ZV0GVVCFP,130409.16
EKNTM4G13586PSAG2A9L1JLB,56559.62
T8T2E2AWGM7YTPKNB1P332OD,299070.47
1GBYGX4DZ5G4ZXXKNTELQ6TL,2544.56
ML3NIVGZZ13M8JBKBN3D3SGO,10928.66
0TWSG2RBQK0KXNVV05DDELDM,712442.13
QOKNXNV817MT3HQI909OG7P5,2341096.03
YGX8HU9TO2VODM0KHGXL8BQD,792777.45
P68Q4LYV0IU2J3OSBBQSYQQQ,19100.15
0ICXPVHJ8RI8ADHF75QDQS2J,65135.24
EP1OKHB7T6LQKFBSUNJU5I4H,3801.72
QC9H1SR1NQNJ0DLISN5N0MM4,5103.77
H18JQOGY5KBX53QKVILJIP9O,77691.07
KBCYYFHUX5B8EQLW162PMUVZ,23379.58
V67W4TDBSQ7DGMDE8JUV83Z3,2536444.08
9XGI4BTZ8NZSHBDCUQE4K4KB,342377.41
UMG0AGFGNEZAY6DC45KS9ENB,4622.39
5TZV7Q0QZFZFG8FBITVU5QN9,1157687.95
2A1T6MF8TLMJG30DJW6VF4QP,3588.56
8CN9EYKF2VDTRNZTNSBMZDL0,6013.98
83HPKD8F2PA6P6V1SJAGDCRY,30295.89
AW6T62K47RLSDZ9YPEVH62LG,5076.23
I9Z2RPUZSKFF9WF8RU7DDUUK,35149.15
GWI5NQPQ8N5PIKIGAHB4EIOZ,5710.20
6K4V5L5HGC4BR84RUB9PI41J,22998.70
M5521QXBD49MQNIESE6Q1SDX,1370936.55
8A7SNQ9W19URQ4JVC39IVBIP,503000.94
MI2M2G0HC1A8H8B54OBG7ZFO,156956.37
BD9MKUK71KM8OM70MCXZXI0D,4789.46
S139O740VOFZLOH10XVH2217,463476.30
84EMQQ6I2AINNSK6D85JWQ2A,196273.59
UNIVRLQCM7VHSA9PFJ3FFT87,15439.05
7DGPYK166FA9X36Q48OGU2W5,8065.88
EAV8QKWNHAMKVXD12CRL3WJQ,499113.34
PGR7J73BEKZSKT8UPWGH210N,425755.17
EWFEDNQH86M2JLHOPY47SNC3,1441781.42
HWJ3ES8TJ4I8RLWM5YFRR10X,7484.00
V8ZMJUYDG8C4703PJR3MVIGU,39414.53
3SYEPBIY3HRDQHTG5CMIGWBF,7684.98
QDA2I17RX0IIQO4V0WXIJ470,6176.15
ODFUOHIN9CL8N8KNPA8JKY6Q,56977.33
ILPFCYQSHV9VGE8E9JZ6DMGS,38339.64
IK5QBUMRGB8WRFKBKZ4AR21K,720891.40
JY8DWADHR2WUF48KBGOXLH52,39295.05
LL758F4YIK259YO0X8YOSM1V,103406.14
X8F6GC2K2P2HCHIV1M469V4M,24026.40
LXHB3RTFRUAB594JG8KV6PDE,39404.74
Q0Y7X0ZO6X2FH3TEAL8ZFEKV,4503.66
LXFPAMZL9W1XFEWJJ0IAJ8LE,13600.08
VK9LTS6RM0WP8SZ6WPCMXYLB,1062722.95
5GGQVUT0LYP3NZWNLWCQHDMQ,17544.68
44ARAL6QV0FNIVN0PGISL6JD,8573.99
TJRC454CP46YRWCSI81TKA3A,1787882.77
BCTIP5R4VHZSNN6K6MKLWDBW,4474.20
